No,X4_number_of_convenience_stores,X5_latitude,X6_longitude,Y_house_price_of_unit_area
1,10,24.98298,121.54024,37.9
2,9,24.98034,121.53951,42.2
3,5,24.98746,121.54391,47.3
4,5,24.98746,121.54391,54.8
5,5,24.97937,121.54245,43.1
6,3,24.96305,121.51254,32.1
7,7,24.97933,121.53642,40.3
8,6,24.98042,121.54228,46.7
9,1,24.95095,121.48458,18.8
10,3,24.96731,121.51486,22.1
11,1,24.97349,121.53372,41.4
12,9,24.97433,121.5431,58.1
13,5,24.96515,121.53737,39.3
14,4,24.96108,121.51046,23.8
15,4,24.99156,121.53406,34.3
16,2,24.9824,121.54619,50.5
17,6,24.97744,121.54458,70.1
18,1,24.97544,121.53119,37.4
19,8,24.9675,121.54451,42.3
20,7,24.96772,121.54102,47.7
21,3,24.96314,121.51151,29.3
22,7,24.97528,121.54541,51.6
23,1,24.95204,121.54842,24.6
24,7,24.97528,121.54541,47.9
25,4,24.97353,121.53885,38.8
26,2,24.97542,121.51726,27
27,5,24.98085,121.54391,56.2
28,5,24.95593,121.53913,33.6
29,4,24.97419,121.53797,47
30,5,24.97563,121.54694,57.1
31,0,24.94826,121.49587,22.1
32,7,24.98281,121.53408,25
33,1,24.97349,121.53451,34.2
34,6,24.97841,121.54281,49.3
35,7,24.98419,121.54243,55.1
36,0,25.01459,121.51816,27.3
37,2,24.96386,121.51458,22.9
38,1,24.95204,121.54842,25.3
39,6,24.97201,121.54722,47.7
40,5,24.98203,121.54348,46.2
41,0,24.94155,121.50381,15.9
42,0,24.94297,121.50342,18.2
43,5,24.96305,121.53758,34.7
44,6,24.98748,121.54301,34.1
45,4,24.97445,121.54765,53.9
46,8,24.97015,121.54494,38.3
47,9,24.9703,121.54458,42
48,3,24.97563,121.53715,61.5
49,0,24.94684,121.49578,13.4
50,1,24.94925,121.49542,13.2
51,4,24.974,121.53842,44.2
52,1,24.95402,121.55282,20.7
53,3,24.97419,121.5175,27
54,5,24.96515,121.53737,38.9
55,5,24.98203,121.54348,51.7
56,0,24.94968,121.53009,13.7
57,8,24.97254,121.54059,41.9
58,7,24.95744,121.53711,53.5
59,1,24.94925,121.49542,22.6
60,5,24.95776,121.53438,42.4
61,2,24.96365,121.51471,21.3
62,6,24.97585,121.54516,63.2
63,3,24.96303,121.51254,27.7
